CD_CID,DS_CID,DT_EXCL,ID_ORIGEM
M350,SINDROME SECA [SJÖGREN]                                                                             ,,
M351,OUTRAS SINDROMES SUPERPOSTAS                                                                        ,,
M352,DOENCA DE BEHCET                                                                                    ,,
M353,POLIMIALGIA REUMATICA                                                                               ,,
M354,FASCIITE (EOSINOFILICA) DIFUSA                                                                      ,,
M355,FIBROESCLEROSE MULTIFOCAL                                                                           ,,
M356,PANICULITE RECIDIVANTE [WEBER-CHRISTIAN]                                                            ,,
M357,SINDROME DE HIPERMOBILIDADE                                                                         ,,
M358,OUTRO COMPROMETIMENTO SISTEMICO ESPECIFICADO DO TECIDO CONJUNTIVO                                   ,,
M359,COMPROMETIMENTO SISTEMICO NAO ESPECIFICADO DO TECIDO CONJUNTIVO                                     ,,
M36,DOENCAS SISTEMICAS DO TECIDO CONJUNTIVO EM DOENCAS CLASSIFICADAS EM OUTRA PARTE E SUBTÍTULOS        ,,
M360,DERMATO(POLI)MIOSITE EM DOENCAS NEOPLASICAS                                                         ,,
M361,ARTROPATIA EM DOENCAS NEOPLASICAS CLASSIFICADAS                                                     ,,
M362,ARTROPATIA HEMOFILICA                                                                               ,,
M363,ARTROPATIAS EM OUTRAS DOENCAS HEMATOLOGICAS                                                         ,,
M364,ARTROPATIA ASSOCIADA A REACOES DE HIPERSENSIBILIDADE CLASSIFICADAS EM OUTRA PARTE                   ,,
M368,DOENCAS SISTEMICAS DO TECIDO CONJUNTIVO EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE              ,,
M40,CIFOSE E LORDOSE E SUBTÍTULOS                                                                       ,,
M400,CIFOSE POSTURAL                                                                                     ,,
M401,OUTRAS CIFOSES SECUNDARIAS                                                                          ,,
M402,OUTRAS CIFOSES E AS NAO ESPECIFICADAS                                                               ,,
M403,SINDROME DA RETIFICACAO DA COLUNA VERTEBRAL                                                         ,,
M404,OUTRAS LORDOSES                                                                                     ,,
M405,LORDOSE NAO ESPECIFICADA                                                                            ,,
M41,ESCOLIOSE E SUBTÍTULOS                                                                              ,,
M410,ESCOLIOSE IDIOPATICA INFANTIL                                                                       ,,
M411,ESCOLIOSE IDIOPATICA JUVENIL                                                                        ,,
M412,OUTRAS ESCOLIOSES IDIOPATICAS                                                                       ,,
M413,ESCOLIOSE TORACOGENICA                                                                              ,,
M414,ESCOLIOSE NEUROMUSCULAR                                                                             ,,
M415,OUTRAS ESCOLIOSES SECUNDARIAS                                                                       ,,
M418,OUTRAS FORMAS DE ESCOLIOSE                                                                          ,,
M419,ESCOLIOSE NAO ESPECIFICADA                                                                          ,,
M42,OSTEOCONDROSE DA COLUNA VERTEBRAL E SUBTÍTULOS                                                      ,,
M420,OSTEOCONDROSE VERTEBRAL JUVENIL                                                                     ,,
M421,OSTEOCONDROSE VERTEBRAL DO ADULTO                                                                   ,,
M429,OSTEOCONDROSE VERTEBRAL, NAO ESPECIFICADA                                                           ,,
M43,OUTRAS DORSOPATIAS DEFORMANTES E SUBTÍTULOS                                                         ,,
M430,ESPONDILOLISE                                                                                       ,,
M431,ESPONDILOLISTESE                                                                                    ,,
M432,OUTRAS FUSOES DA COLUNA VERTEBRAL                                                                   ,,
M433,SUBLUXACAO ATLANTO-AXIAL RECIDIVANTE COM MIELOPATIA                                                 ,,
O881,EMBOLIA AMNIOTICA                                                                                   ,,
O882,EMBOLIA OBSTETRICA POR COAGULO DE SANGUE                                                            ,,
O883,EMBOLIA SEPTICA OU PIEMICA DE ORIGEM OBSTETRICA                                                     ,,
O888,OUTRAS EMBOLIAS DE ORIGEM OBSTETRICA                                                                ,,
O89,COMPLICACOES DA ANESTESIA ADMINISTRADA DURANTE O PUERPERIO E SUBTÍTULOS                             ,,
O890,COMPLICACOES PULMONARES DA ANESTESIA DURANTE O PUERPERIO                                            ,,
O891,COMPLICACOES CARDIACAS DEVIDAS A ANESTESIA DURANTE O PUERPERIO                                      ,,
O892,COMPLICACOES RELATIVAS AO SISTEMA NERVOSO CENTRAL DEVIDAS A ANESTESIA DURANTE O PUERPERIO           ,,
O893,REACAO TOXICA A UMA ANESTESIA LOCAL DURANTE O PUERPERIO                                             ,,
O894,CEFALEIA PROVOCADA POR UMA ANESTESIA RAQUIDIANA OU PERIDURAL, DURANTE O PUERPERIO                   ,,
O008,OUTRAS FORMAS DE GRAVIDEZ ECTOPICA                                                                  ,,
O009,GRAVIDEZ ECTOPICA, NAO ESPECIFICADA                                                                 ,,
O01,MOLA HIDATIFORME E SUBTÍTULOS                                                                       ,,
O010,MOLA HIDATIFORME CLASSICA                                                                           ,,
O011,MOLA HIDATIFORME INCOMPLETA OU PARCIAL                                                              ,,
O019,MOLA HIDATIFORME NAO ESPECIFICADA                                                                   ,,
O02,OUTROS PRODUTOS ANORMAIS DA CONCEPCAO E SUBTÍTULOS                                                  ,,
O020,OVO CLARO E MOLA NAO-HIDATIFORME                                                                    ,,
O021,ABORTO RETIDO                                                                                       ,,
O028,OUTROS PRODUTOS ANORMAIS DA CONCEPCAO ESPECIFICADOS                                                 ,,
O029,PRODUTO ANORMAL DA CONCEPCAO, NAO ESPECIFICADO                                                      ,,
O03,ABORTO ESPONTANEO E SUBTÍTULOS                                                                      ,,
O030,ABORTO ESPONTANEO - INCOMPLETO, COMPLICADO POR INFECCAO DO TRATO GENITAL OU DOS ORGAOS PELVICOS     ,,
O031,ABORTO ESPONTANEO - INCOMPLETO, COMPLICADO POR HEMORRAGIA EXCESSIVA OU TARDIA                       ,,
O032,ABORTO ESPONTANEO - INCOMPLETO, COMPLICADO POR EMBOLIA                                              ,,
O033,ABORTO ESPONTANEO - INCOMPLETO, COM OUTRAS COMPLICACOES OU COM COMPLICACOES NAO ESPECIFICADAS       ,,
O034,ABORTO ESPONTANEO - INCOMPLETO, SEM COMPLICACOES                                                    ,,
O035,ABORTO ESPONTANEO - COMPLETO OU NAO ESPECIFICADO, COMPLICADO POR INFECCOES DO TRATO GENITAL OU DOS O,,
O036,ABORTO ESPONTANEO - COMPLETO OU NAO ESPECIFICADO, COMPLICADO POR HEMORRAGIA EXCESSIVA OU TARDIA     ,,
O037,ABORTO ESPONTANEO - COMPLETO OU NAO ESPECIFICADO, COMPLICADO POR EMBOLIA,,
O038,ABORTO ESPONTANEO - COMPLETO OU NAO ESPECIFICADO, COM OUTRAS COMPLICACOES OU COM COMPLICACOES NAO ES,,
O039,ABORTO ESPONTANEO - COMPLETO OU NAO ESPECIFICADO, SEM COMPLICACOES                                  ,,
O04,ABORTO POR RAZOES MEDICAS E LEGAIS E SUBTÍTULOS                                                     ,,
O040,ABORTO POR RAZOES MEDICAS E LEGAIS - INCOMPLETO, COMPLICADO POR INFECCAO DO TRATO GENITAL OU DOS ORG,,
O041,ABORTO POR RAZOES MEDICAS E LEGAIS - INCOMPLETO, COMPLICADO POR HEMORRAGIA EXCESSIVA OU TARDIA      ,,
O042,ABORTO POR RAZOES MEDICAS E LEGAIS - INCOMPLETO, COMPLICADO POR EMBOLIA                             ,,
O043,ABORTO POR RAZOES MEDICAS E LEGAIS - INCOMPLETO, COM OUTRAS COMPLICACOES OU COM COMPLICACOES NAO ESP,,
O044,ABORTO POR RAZOES MEDICAS E LEGAIS - INCOMPLETO, SEM COMPLICACOES                                   ,,
O045,ABORTO POR RAZOES MEDICAS E LEGAIS - COMPLETO OU NAO ESPECIFICADO, COMPLICADO POR INFECCOES DO TRATO,,
O046,ABORTO POR RAZOES MEDICAS E LEGAIS - COMPLETO OU NAO ESPECIFICADO, COMPLICADO POR HEMORRAGIA EXCESSI,,
O047,ABORTO POR RAZOES MEDICAS E LEGAIS - COMPLETO OU NAO ESPECIFICADO, COMPLICADO POR EMBOLIA,,
O048,ABORTO POR RAZOES MEDICAS E LEGAIS - COMPLETO OU NAO ESPECIFICADO, COM OUTRAS COMPLICACOES OU COM CO,,
O049,ABORTO POR RAZOES MEDICAS E LEGAIS - COMPLETO OU NAO ESPECIFICADO, SEM COMPLICACOES                 ,,
O05,OUTROS TIPOS DE ABORTO E SUBTÍTULOS                                                                 ,,
O050,OUTROS TIPOS DE ABORTO - INCOMPLETO, COMPLICADO POR INFECCAO DO TRATO GENITAL OU DOS ORGAOS PELVICOS,,
O051,OUTROS TIPOS DE ABORTO - INCOMPLETO, COMPLICADO POR HEMORRAGIA EXCESSIVA OU TARDIA                  ,,
O052,OUTROS TIPOS DE ABORTO - INCOMPLETO, COMPLICADO POR EMBOLIA                                         ,,
O053,OUTROS TIPOS DE ABORTO - INCOMPLETO, COM OUTRAS COMPLICACOES OU COM COMPLICACOES NAO ESPECIFICADAS  ,,
O054,OUTROS TIPOS DE ABORTO - INCOMPLETO, SEM COMPLICACOES                                               ,,
O055,OUTROS TIPOS DE ABORTO - COMPLETO OU NAO ESPECIFICADO, COMPLICADO POR INFECCOES DO TRATO GENITAL OU ,,
O056,OUTROS TIPOS DE ABORTO - COMPLETO OU NAO ESPECIFICADO, COMPLICADO POR HEMORRAGIA EXCESSIVA OU TARDIA,,
O057,OUTROS TIPOS DE ABORTO - COMPLETO OU NAO ESPECIFICADO, COMPLICADO POR EMBOLIA,,
O058,OUTROS TIPOS DE ABORTO - COMPLETO OU NAO ESPECIFICADO, COM OUTRAS COMPLICACOES OU COM COMPLICACOES N,,
O059,OUTROS TIPOS DE ABORTO - COMPLETO OU NAO ESPECIFICADO, SEM COMPLICACOES                             ,,
O06,ABORTO NAO ESPECIFICADO E SUBTÍTULOS                                                                ,,
O060,ABORTO NAO ESPECIFICADO - INCOMPLETO, COMPLICADO POR INFECCAO DO TRATO GENITAL OU DOS ORGAOS PELVICO,,
O061,ABORTO NAO ESPECIFICADO - INCOMPLETO, COMPLICADO POR HEMORRAGIA EXCESSIVA OU TARDIA                 ,,
O062,ABORTO NAO ESPECIFICADO - INCOMPLETO, COMPLICADO POR EMBOLIA                                        ,,
O063,ABORTO NAO ESPECIFICADO - INCOMPLETO, COM OUTRAS COMPLICACOES OU COM COMPLICACOES NAO ESPECIFICADAS ,,
O064,ABORTO NAO ESPECIFICADO - INCOMPLETO, SEM COMPLICACOES                                              ,,
O065,ABORTO NAO ESPECIFICADO - COMPLETO OU NAO ESPECIFICADO, COMPLICADO POR INFECCOES DO TRATO GENITAL OU,,
O066,ABORTO NAO ESPECIFICADO - COMPLETO OU NAO ESPECIFICADO, COMPLICADO POR HEMORRAGIA EXCESSIVA OU TARDI,,
O067,ABORTO NAO ESPECIFICADO - COMPLETO OU NAO ESPECIFICADO, COMPLICADO POR EMBOLIA,,
O068,ABORTO NAO ESPECIFICADO - COMPLETO OU NAO ESPECIFICADO, COM OUTRAS COMPLICACOES OU COM COMPLICACOES ,,
O069,ABORTO NAO ESPECIFICADO - COMPLETO OU NAO ESPECIFICADO, SEM COMPLICACOES                            ,,
V822,OCUPANTE DE UM BONDE [CARRO ELETRICO] TRAUMATIZADO EM UMA COLISAO COM OU ATINGIDO POR MATERIAL RODAN,,
V823,OCUPANTE DE UM BONDE [CARRO ELETRICO] TRAUMATIZADO EM UMA COLISAO COM OUTRO OBJETO                  ,,
V824,PESSOA TRAUMATIZADA AO SUBIR OU DESCER DE UM BONDE [CARRO ELETRICO]                                 ,,
V825,OCUPANTE DE UM BONDE [CARRO ELETRICO] TRAUMATIZADO DEVIDO A UMA QUEDA NO INTERIOR DO MESMO          ,,
V826,OCUPANTE DE UM BONDE [CARRO ELETRICO] TRAUMATIZADO DEVIDO A UMA QUEDA DO MESMO                      ,,
V827,OCUPANTE DE UM BONDE [CARRO ELETRICO] TRAUMATIZADO DEVIDO A UM DESCARRILHAMENTO SEM COLISAO ANTECEDE,,
V828,OCUPANTE DE UM BONDE [CARRO ELETRICO] TRAUMATIZADO EM OUTROS ACIDENTES DE TRANSPORTE ESPECIFICADOS  ,,
V829,OCUPANTE DE UM BONDE [CARRO ELETRICO] TRAUMATIZADO EM UM ACIDENTE DE TRANSITO NAO ESPECIFICADO      ,,
V83,OCUPANTE DE UM VEICULO ESPECIAL A MOTOR USADO PRINCIPALMENTE EM AREAS INDUSTRIAIS TRAUMATIZADO EM UM,,
V830,CONDUTOR [MOTORISTA] DE UM VEICULO ESPECIAL A MOTOR USADO PRINCIPALMENTE EM AREAS INDUSTRIAS TRAUMAT,,
V831,PASSAGEIRO DE UM VEICULO ESPECIAL A MOTOR USADO PRINCIPALMENTE EM AREAS INDUSTRIAIS TRAUMATIZADO EM ,,
V832,PESSOA VIAJANDO NO EXTERIOR DE UM VEICULO ESPECIAL A MOTOR USADO PRINCIPALMENTE EM AREAS INDUSTRIAIS,,
V833,OCUPANTE NAO ESPECIFICADO DE UM VEICULO ESPECIAL A MOTOR USADO PRINCIPALMENTE EM AREAS INDUSTRIAIS T,,
V834,PESSOA TRAUMATIZADA AO SUBIR OU DESCER DE UM VEICULO ESPECIAL A MOTOR USADO PRINCIPALMENTE EM AREAS ,,
V835,CONDUTOR [MOTORISTA] DE UM VEICULO ESPECIAL A MOTOR USADO PRINCIPALMENTE EM AREAS INDUSTRIAS TRAUMAT,,
V836,PASSAGEIRO DE UM VEICULO ESPECIAL A MOTOR USADO PRINCIPALMENTE EM AREAS INDUSTRIAIS TRAUMATIZADO EM ,,
V837,PESSOA VIAJANDO NO EXTERIOR DE UM VEICULO ESPECIAL A MOTOR USADO PRINCIPALMENTE EM AREAS INDUSTRIAIS,,
V839,OCUPANTE NAO ESPECIFICADO DE UM VEICULO ESPECIAL A MOTOR USADO PRINCIPALMENTE EM AREAS INDUSTRIAIS T,,
W046,QUEDA, ENQUANTO ESTAVA SENDO CARREGADO OU APOIADO POR OUTRA(S) PESSOA(S) - AREAS INDUSTRIAIS E EM CO,,
W047,QUEDA, ENQUANTO ESTAVA SENDO CARREGADO OU APOIADO POR OUTRA(S) PESSOA(S) - FAZENDA                  ,,
W048,QUEDA, ENQUANTO ESTAVA SENDO CARREGADO OU APOIADO POR OUTRA(S) PESSOA(S) - OUTROS LOCAIS ESPECIFICAD,,
W049,QUEDA, ENQUANTO ESTAVA SENDO CARREGADO OU APOIADO POR OUTRA(S) PESSOA(S) - LOCAL NAO ESPECIFICADO   ,,
W05,QUEDA ENVOLVENDO UMA CADEIRA DE RODAS E SUBTÍTULOS                                                  ,,
W050,QUEDA ENVOLVENDO UMA CADEIRA DE RODAS - RESIDENCIA                                                  ,,
W051,QUEDA ENVOLVENDO UMA CADEIRA DE RODAS - HABITACAO COLETIVA                                          ,,
W052,QUEDA ENVOLVENDO UMA CADEIRA DE RODAS - ESCOLAS, OUTRAS INSTITUICOES E AREAS DE ADMINISTRACAO PUBLIC,,
W053,QUEDA ENVOLVENDO UMA CADEIRA DE RODAS - AREA PARA A PRATICA DE ESPORTES E ATLETISMO                 ,,
W054,QUEDA ENVOLVENDO UMA CADEIRA DE RODAS - RUA E ESTRADA                                               ,,
W055,QUEDA ENVOLVENDO UMA CADEIRA DE RODAS - AREAS DE COMERCIO E DE SERVICOS                             ,,
W056,QUEDA ENVOLVENDO UMA CADEIRA DE RODAS - AREAS INDUSTRIAIS E EM CONSTRUCAO                           ,,
W057,QUEDA ENVOLVENDO UMA CADEIRA DE RODAS - FAZENDA                                                     ,,
W058,QUEDA ENVOLVENDO UMA CADEIRA DE RODAS - OUTROS LOCAIS ESPECIFICADOS                                 ,,
W059,QUEDA ENVOLVENDO UMA CADEIRA DE RODAS - LOCAL NAO ESPECIFICADO                                      ,,
W06,QUEDA DE UM LEITO E SUBTÍTULOS                                                                      ,,
W060,QUEDA DE UM LEITO - RESIDENCIA                                                                      ,,
W061,QUEDA DE UM LEITO - HABITACAO COLETIVA                                                              ,,
W062,QUEDA DE UM LEITO - ESCOLAS, OUTRAS INSTITUICOES E AREAS DE ADMINISTRACAO PUBLICA                   ,,
W063,QUEDA DE UM LEITO - AREA PARA A PRATICA DE ESPORTES E ATLETISMO                                     ,,
Q825,NEVO NAO-NEOPLASICO CONGENITO                                                                       ,,
Q828,OUTRAS MALFORMACOES CONGENITAS ESPECIFICADAS DA PELE                                                ,,
Q829,MALFORMACAO CONGENITA NAO ESPECIFICADA DA PELE                                                      ,,
Q83,MALFORMACOES CONGENITAS DA MAMA E SUBTÍTULOS                                                        ,,
Q830,AUSENCIA CONGENITA DA MAMA COM AUSENCIA DO MAMILO                                                   ,,
Q831,MAMA SUPRANUMERARIA                                                                                 ,,
Q832,AUSENCIA DE MAMILO                                                                                  ,,
Q833,MAMILO ACESSORIO                                                                                    ,,
Q838,OUTRAS MALFORMACOES CONGENITAS DA MAMA                                                              ,,
Q839,MALFORMACAO CONGENITA NAO ESPECIFICADA DA MAMA                                                      ,,
Q84,OUTRAS MALFORMACOES CONGENITAS DO TEGUMENTO E SUBTÍTULOS                                            ,,
Q840,ALOPECIA CONGENITA                                                                                  ,,
Q841,ALTERACOES MORFOLOGICAS CONGENITAS DOS CABELOS NAO CLASSIFICADAS EM OUTRA PARTE                     ,,
Q842,OUTRAS MALFORMACOES CONGENITAS DOS CABELOS                                                          ,,
Q843,ANONIQUIA                                                                                           ,,
Q844,LEUCONIQUIA CONGENITA                                                                               ,,
Q845,HIPERTROFIA E ALARGAMENTO DAS UNHAS                                                                 ,,
Q846,OUTRAS MALFORMACOES CONGENITAS DAS UNHAS                                                            ,,
Q848,OUTRAS MALFORMACOES CONGENITAS ESPECIFICADAS DO TEGUMENTO                                           ,,
Q849,MALFORMACAO CONGENITA NAO ESPECIFICADA DO TEGUMENTO                                                 ,,
Q85,FACOMATOSES NAO CLASSIFICADAS EM OUTRA PARTE E SUBTÍTULOS                                           ,,
Q850,NEUROFIBROMATOSE (NAO-MALIGNA)                                                                      ,,
Q851,ESCLEROSE TUBEROSA                                                                                  ,,
Q858,OUTRAS FACOMATOSES NAO CLASSIFICADAS EM OUTRA PARTE                                                 ,,
Q859,FACOMATOSE NAO ESPECIFICADA                                                                         ,,
Q86,SINDROMES COM MALFORMACOES CONGENITAS DEVIDAS A CAUSAS EXOGENAS CONHECIDAS, NAO CLASSIFICADAS EM OUT,,
Q860,SINDROME FETAL ALCOOLICO (DISMORFICO)                                                               ,,
I988,OUTROS TRANSTORNOS ESPECIFICADOS DO APARELHO CIRCULATORIO EM DOENCAS CLASSIFICADAS EM OUTRA PARTE   ,,
I99,OUTROS TRANSTORNOS DO APARELHO CIRCULATORIO E OS NAO ESPECIFICADOS E SUBTÍTULOS                     ,,
J00,NASOFARINGITE AGUDA [RESFRIADO COMUM] E SUBTÍTULOS                                                  ,,
J01,SINUSITE AGUDA E SUBTÍTULOS                                                                         ,,
J010,SINUSITE MAXILAR AGUDA                                                                              ,,
J011,SINUSITE FRONTAL AGUDA                                                                              ,,
J012,SINUSITE ETMOIDAL AGUDA                                                                             ,,
J013,SINUSITE ESFENOIDAL AGUDA                                                                           ,,
J014,PANSINUSITE AGUDA                                                                                   ,,
J018,OUTRAS SINUSITES AGUDAS                                                                             ,,
J019,SINUSITE AGUDA NAO ESPECIFICADA                                                                     ,,
J02,FARINGITE AGUDA E SUBTÍTULOS                                                                        ,,
J020,FARINGITE ESTREPTOCOCICA                                                                            ,,
J028,FARINGITE AGUDA DEVIDA A OUTROS MICROORGANISMOS ESPECIFICADOS                                       ,,
J029,FARINGITE AGUDA NAO ESPECIFICADA                                                                    ,,
J03,AMIGDALITE AGUDA E SUBTÍTULOS                                                                       ,,
J030,AMIGDALITE ESTREPTOCOCICA                                                                           ,,
J038,AMIGDALITE AGUDA DEVIDA A OUTROS MICROORGANISMOS ESPECIFICADOS                                      ,,
J039,AMIGDALITE AGUDA NAO ESPECIFICADA                                                                   ,,
J04,LARINGITE E TRAQUEITE AGUDAS E SUBTÍTULOS                                                           ,,
J040,LARINGITE AGUDA                                                                                     ,,
J041,TRAQUEITE AGUDA                                                                                     ,,
J042,LARINGOTRAQUEITE AGUDA                                                                              ,,
J05,LARINGITE OBSTRUTIVA AGUDA [CRUPE] E EPIGLOTITE E SUBTÍTULOS                                        ,,
J050,LARINGITE OBSTRUTIVA AGUDA [CRUPE]                                                                  ,,
J051,EPIGLOTITE AGUDA                                                                                    ,,
J06,INFECCOES AGUDAS DAS VIAS AEREAS SUPERIORES DE LOCALIZACOES MULTIPLAS E NAO ESPECIFICADAS E SUBTÍTUL,,
J060,LARINGOFARINGITE AGUDA                                                                              ,,
J068,OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS SUPERIORES DE LOCALIZACOES MULTIPLAS                        ,,
J069,INFECCAO AGUDA DAS VIAS AEREAS SUPERIORES NAO ESPECIFICADA                                          ,,
J10,INFLUENZA DEVIDA A OUTRO VIRUS DA INFLUENZA [GRIPE] IDENTIFICADO E SUBTÍTULOS                       ,,
J100,INFLUENZA COM PNEUMONIA DEVIDA A OUTRO VIRUS DA INFLUENZA [GRIPE] IDENTIFICADO                      ,,
J101,INFLUENZA COM OUTRAS MANIFESTACOES RESPIRATORIAS, DEVIDA A OUTRO VIRUS DA INFLUENZA [GRIPE] IDENTIFI,,
J108,INFLUENZA COM OUTRAS MANIFESTACOES, DEVIDA A OUTRO VIRUS DA INFLUENZA [GRIPE] IDENTIFICADO          ,,
J11,INFLUENZA [GRIPE] DEVIDA A VIRUS NAO IDENTIFICADO E SUBTÍTULOS                                      ,,
J110,INFLUENZA [GRIPE] COM PNEUMONIA, DEVIDA A VIRUS NAO IDENTIFICADO                                    ,,
J111,INFLUENZA [GRIPE] COM OUTRAS MANIFESTACOES RESPIRATORIAS, DEVIDA A VIRUS NAO IDENTIFICADO           ,,
J118,INFLUENZA [GRIPE] COM OUTRAS MANIFESTACOES, DEVIDA A VIRUS NAO IDENTIFICADO                         ,,
J12,PNEUMONIA VIRAL NAO CLASSIFICADA EM OUTRA PARTE E SUBTÍTULOS                                        ,,
J120,PNEUMONIA DEVIDA A ADENOVIRUS                                                                       ,,
J121,PNEUMONIA DEVIDA A VIRUS RESPIRATORIO SINCICIAL                                                     ,,
J122,PNEUMONIA DEVIDA A PARAINFLUENZA                                                                    ,,
J128,OUTRAS PNEUMONIAS VIRAIS                                                                            ,,
J129,PNEUMONIA VIRAL NAO ESPECIFICADA                                                                    ,,
J13,PNEUMONIA DEVIDA A STREPTOCOCCUS PNEUMONIAE E SUBTÍTULOS                                            ,,
J14,PNEUMONIA DEVIDA A HAEMOPHILUS INFUENZAE E SUBTÍTULOS                                               ,,
J15,PNEUMONIA BACTERIANA NAO CLASSIFICADA EM OUTRA PARTE E SUBTÍTULOS                                   ,,
J150,PNEUMONIA DEVIDA A KLEBSIELLA PNEUMONIAE                                                            ,,
J151,PNEUMONIA DEVIDA A PSEUDOMONAS                                                                      ,,
J152,PNEUMONIA DEVIDA A STAPHYLOCOCCUS                                                                   ,,
J153,PNEUMONIA DEVIDA A STREPTOCOCCUS DO GRUPO B                                                         ,,
J154,PNEUMONIA DEVIDA A OUTROS ESTREPTOCOCOS                                                             ,,
J155,PNEUMONIA DEVIDA A ESCHERICHIA COLI                                                                 ,,
J156,PNEUMONIA DEVIDA A OUTRAS BACTERIAS AEROBICAS GRAM-NEGATIVAS                                        ,,
J157,PNEUMONIA DEVIDA A MYCOPLASMA PNEUMONIAE                                                            ,,
J158,OUTRAS PNEUMONIAS BACTERIANAS                                                                       ,,
J159,PNEUMONIA BACTERIANA NAO ESPECIFICADA                                                               ,,
J16,PNEUMONIA DEVIDA A OUTROS MICROORGANISMOS INFECCIOSOS ESPECIFICADOS NAO CLASSIFICADOS EM OUTRA PARTE,,
J160,PNEUMONIA DEVIDA A CLAMIDIAS                                                                        ,,
J168,PNEUMONIA DEVIDA A OUTROS MICROORGANISMOS INFECCIOSOS ESPECIFICADOS                                 ,,
J17,PNEUMONIA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE E SUBTÍTULOS                                      ,,
J170,PNEUMONIA EM DOENCAS BACTERIANAS CLASSIFICADAS EM OUTRA PARTE                                       ,,
J171,PNEUMONIA EM DOENCAS VIRAIS CLASSIFICADAS EM OUTRA PARTE                                            ,,
J172,PNEUMONIA EM MICOSES CLASSIFICADAS EM OUTRA PARTE                                                   ,,
J173,PNEUMONIA EM DOENCAS PARASITARIAS CLASSIFICADAS EM OUTRA PARTE                                      ,,
M434,OUTRAS SUBLUXACOES ATLANTO-AXIAIS RECIDIVANTES                                                      ,,
M435,OUTRAS SUBLUXACOES VERTEBRAIS RECIDIVANTES                                                          ,,
M436,TORCICOLO                                                                                           ,,
M438,OUTRAS DORSOPATIAS DEFORMANTES ESPECIFICADAS                                                        ,,
M439,DORSOPATIA DEFORMANTE, NAO ESPECIFICADA                                                             ,,
M45,ESPONDILITE ANCILOSANTE E SUBTÍTULOS                                                                ,,
M46,OUTRAS ESPONDILOPATIAS INFLAMATORIAS E SUBTÍTULOS                                                   ,,
M460,ENTESOPATIA VERTEBRAL                                                                               ,,
M461,SACROILEITE NAO CLASSIFICADA EM OUTRA PARTE                                                         ,,
M462,OSTEOMIELITE DAS VERTEBRAS                                                                          ,,
M463,INFECCAO (PIOGENICA) DO DISCO INTERVERTEBRAL                                                        ,,
M464,DISCITE NAO ESPECIFICADA                                                                            ,,
M465,OUTRAS ESPONDILOPATIAS INFECCIOSAS                                                                  ,,
M468,OUTRAS ESPONDILOPATIAS INFLAMATORIAS ESPECIFICADAS                                                  ,,
M469,ESPONDILOPATIA INFLAMATORIA NAO ESPECIFICADA                                                        ,,
M47,ESPONDILOSE E SUBTÍTULOS                                                                            ,,
M470,SINDROMES DE COMPRESSAO DA ARTERIA ESPINHAL ANTERIOR OU VERTEBRAL ANTERIOR                          ,,
M471,OUTRAS ESPONDILOSES COM MIELOPATIA                                                                  ,,
M472,OUTRAS ESPONDILOSES COM RADICULOPATIAS                                                              ,,
M478,OUTRAS ESPONDILOSES                                                                                 ,,
M479,ESPONDILOSE NAO ESPECIFICADA                                                                        ,,
M48,OUTRAS ESPONDILOPATIAS E SUBTÍTULOS                                                                 ,,
M480,ESTENOSE DA COLUNA VERTEBRAL                                                                        ,,
M481,HIPEROSTOSE ANCILOSANTE [FORESTIER]                                                                 ,,
M482,KISSING SPINE                                                                                       ,,
M483,ESPONDILOPATIA TRAUMATICA                                                                           ,,
M484,FRATURA DE FADIGA DE VERTEBRA                                                                       ,,
M485,VERTEBRA COLAPSADA NAO CLASSIFICADA EM OUTRA PARTE                                                  ,,
M488,OUTRAS ESPONDILOPATIAS ESPECIFICADAS                                                                ,,
M489,ESPONDILOPATIA NAO ESPECIFICADA                                                                     ,,
M49,ESPONDILOPATIAS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE E SUBTÍTULOS                                ,,
M490,TUBERCULOSE DA COLUNA VERTEBRAL                                                                     ,,
M491,ESPONDILITE POR BRUCELLA                                                                            ,,
M492,ESPONDILITE POR ENTEROBACTERIAS                                                                     ,,
M493,ESPONDILOPATIA EM OUTRAS DOENCAS INFECIOSAS E PARASITARIAS CLASSIFICADAS EM OUTRA PARTE             ,,
M494,ESPONDILOPATIA NEUROPATICA                                                                          ,,
M495,VERTEBRA COLAPSADA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE                                          ,,
M498,ESPONDILOPATIA EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE                                       ,,
M50,TRANSTORNOS DOS DISCOS CERVICAIS E SUBTÍTULOS                                                       ,,
M500,TRANSTORNO DO DISCO CERVICAL COM MIELOPATIA                                                         ,,
M501,TRANSTORNOS DOS DISCOS CERVICAIS COM RADICULOPATIA,,
M502,OUTRO DESLOCAMENTO DE DISCO CERVICAL                                                                ,,
M503,OUTRA DEGENERACAO DE DISCO CERVICAL                                                                 ,,
M508,OUTROS TRANSTORNOS DE DISCOS CERVICAIS                                                              ,,
M509,TRANSTORNO NAO ESPECIFICADO DE DISCO CERVICAL                                                       ,,
M51,OUTROS TRANSTORNOS DE DISCOS INTERVERTEBRAIS E SUBTÍTULOS                                           ,,
